25.882922,-97.559996
25.883549,-97.560619
25.884225,-97.561144
25.886184,-97.562303
25.886879,-97.562464
25.887265,-97.562485
25.886957,-97.560318
25.890095,-97.560254
25.888957,-97.554911
25.888792,-97,553924
25.887972,-97.549922
25.886906,-97.544890
25.885255,-97.548913
25.883269,-97.549289
25.882565,-97.549288
25.879828,-97.546953	
25.878993,-97.544643
25.872837,-97.538968
25.868951,-97.535514
25.862980,-97.530106
25.861773,-97.520086
25.861686,-97.519909
25.853379,-97.507135
25.852819,-97.505526
25.852478,-97.504132
25.849789,-97.500935
25.840725,-97.500913
25.834532,-97.503134
25.833550,-97.499379
25.837490,-97.496750
25.837524,-97.497008
25.831916,-97.500774
25.829511,-97.501181
25.827790,-97.500983
25.824877,-97.501342
25.818250,-97.504325
25.818833,-97.501822
25.820498,-97.502844
25.823135,-97.501450
25.822435,-97.496321
25.824062,-97.493027
25.824371,-97.490291
25.826206,-97.487849
25.827019,-97.487255
25.826585,-97.490667
25.827590,-97.490848
25.828101,-97.487502
25.838008,-97.489390
25.838558,-97.486204
25.830526,-97.484509
25.830944,-97.481966
25.826788,-97.481193
25.825774,-97.483414
25.825271,-97.487008
25.822171,-97.486541
